,google--gemma-3-4b-it_Extreme_vs_Severe_mean,google--gemma-3-4b-it_Extreme_vs_Severe_std,google--gemma-3-4b-it_Extreme_vs_Moderate_mean,google--gemma-3-4b-it_Extreme_vs_Moderate_std,google--gemma-3-4b-it_Extreme_vs_Minor_mean,google--gemma-3-4b-it_Extreme_vs_Minor_std,google--gemma-3-4b-it_Severe_vs_Moderate_mean,google--gemma-3-4b-it_Severe_vs_Moderate_std,google--gemma-3-4b-it_Severe_vs_Minor_mean,google--gemma-3-4b-it_Severe_vs_Minor_std,google--gemma-3-4b-it_Moderate_vs_Minor_mean,google--gemma-3-4b-it_Moderate_vs_Minor_std,meta-llama--Llama-3.2-3B-Instruct_Extreme_vs_Severe_mean,meta-llama--Llama-3.2-3B-Instruct_Extreme_vs_Severe_std,meta-llama--Llama-3.2-3B-Instruct_Extreme_vs_Moderate_mean,meta-llama--Llama-3.2-3B-Instruct_Extreme_vs_Moderate_std,meta-llama--Llama-3.2-3B-Instruct_Extreme_vs_Minor_mean,meta-llama--Llama-3.2-3B-Instruct_Extreme_vs_Minor_std,meta-llama--Llama-3.2-3B-Instruct_Severe_vs_Moderate_mean,meta-llama--Llama-3.2-3B-Instruct_Severe_vs_Moderate_std,meta-llama--Llama-3.2-3B-Instruct_Severe_vs_Minor_mean,meta-llama--Llama-3.2-3B-Instruct_Severe_vs_Minor_std,meta-llama--Llama-3.2-3B-Instruct_Moderate_vs_Minor_mean,meta-llama--Llama-3.2-3B-Instruct_Moderate_vs_Minor_std,microsoft--Phi-4-mini-instruct_Extreme_vs_Severe_mean,microsoft--Phi-4-mini-instruct_Extreme_vs_Severe_std,microsoft--Phi-4-mini-instruct_Extreme_vs_Moderate_mean,microsoft--Phi-4-mini-instruct_Extreme_vs_Moderate_std,microsoft--Phi-4-mini-instruct_Extreme_vs_Minor_mean,microsoft--Phi-4-mini-instruct_Extreme_vs_Minor_std,microsoft--Phi-4-mini-instruct_Severe_vs_Moderate_mean,microsoft--Phi-4-mini-instruct_Severe_vs_Moderate_std,microsoft--Phi-4-mini-instruct_Severe_vs_Minor_mean,microsoft--Phi-4-mini-instruct_Severe_vs_Minor_std,microsoft--Phi-4-mini-instruct_Moderate_vs_Minor_mean,microsoft--Phi-4-mini-instruct_Moderate_vs_Minor_std
n,160.0,0.0,160.0,0.0,160.0,0.0,160.0,0.0,160.0,0.0,160.0,0.0,160.0,0.0,160.0,0.0,160.0,0.0,160.0,0.0,160.0,0.0,160.0,0.0,160.0,0.0,160.0,0.0,160.0,0.0,160.0,0.0,160.0,0.0,160.0,0.0
accuracy,0.6395833333333333,0.0036084391824352125,0.8520833333333333,0.0036084391824351483,0.7708333333333334,0.009547032697824682,0.8416666666666667,0.021949278651776573,0.775,0.010825317547305507,0.44375000000000003,0.027243118397129194,0.5541666666666667,0.0036084391824351483,0.5833333333333334,0.015728821740147392,0.53125,0.006249999999999978,0.5208333333333334,0.015728821740147392,0.5270833333333332,0.021949278651776573,0.4916666666666667,0.007216878364870329,0.5083333333333334,0.01301041249666333,0.6895833333333333,0.02366211810750116,0.6479166666666667,0.0036084391824351483,0.625,0.006249999999999978,0.5854166666666666,0.009547032697824693,0.4645833333333333,0.018042195912175804
precision,0.643789955933157,0.004472005157396852,0.8655531998783585,0.010493866786237678,0.7807738226906364,0.010358941382402804,0.8614140700995866,0.01780851765718526,0.8007518976470087,0.014750438574530537,0.4328223983591215,0.035061003700866296,0.7222056803702972,0.03902275392390379,0.7600441886156174,0.025961234884357053,0.7342972931208225,0.04121828578031299,0.6031310301898537,0.061809815278973446,0.7014979470561099,0.10101089539451148,0.33122362869198313,0.14616462511129763,0.5324429902569884,0.04832199282340416,0.7599925607099207,0.015046198340429454,0.7264954259398183,0.010141198207204504,0.7708864870745648,0.013212357351089348,0.7121329428744061,0.02821309238125261,0.39514710679324344,0.025569925060202583
recall,0.6395833333333333,0.0036084391824352125,0.8520833333333334,0.0036084391824351162,0.7708333333333334,0.009547032697824682,0.8416666666666667,0.021949278651776573,0.775,0.010825317547305507,0.44375000000000003,0.027243118397129194,0.5541666666666667,0.0036084391824351483,0.5833333333333334,0.015728821740147392,0.53125,0.006249999999999978,0.5208333333333334,0.015728821740147392,0.5270833333333332,0.021949278651776573,0.4916666666666667,0.007216878364870329,0.5083333333333333,0.013010412496663315,0.6895833333333333,0.02366211810750116,0.6479166666666667,0.0036084391824351162,0.625,0.006250000000000033,0.5854166666666666,0.009547032697824693,0.46458333333333335,0.01804219591217584
f1,0.6369424476186625,0.004275450246122761,0.8507293617504491,0.003004353007412956,0.7687823425880781,0.010298340511965052,0.8393997275356039,0.022842658391731035,0.7701111234606541,0.01056374641117081,0.4220195102883162,0.03416892810787742,0.4509380357965882,0.00969134094086651,0.4976890855816534,0.023856844254140346,0.40209039781336925,0.01353526461530741,0.3989012170119042,0.02642344275437503,0.39325616481933157,0.03957527481256633,0.33319669331147095,0.009466698408520198,0.39997905441315645,0.012164514215808594,0.6665948684258097,0.03012880498998095,0.6145433366528702,0.007279640861883127,0.5666780972575823,0.009808901768347093,0.5128842126877914,0.015341326613129171,0.3558943511830845,0.0058428713914451275
