,google--gemma-3-12b-it_Extreme_vs_Severe_mean,google--gemma-3-12b-it_Extreme_vs_Severe_std,google--gemma-3-12b-it_Extreme_vs_Moderate_mean,google--gemma-3-12b-it_Extreme_vs_Moderate_std,google--gemma-3-12b-it_Extreme_vs_Minor_mean,google--gemma-3-12b-it_Extreme_vs_Minor_std,google--gemma-3-12b-it_Severe_vs_Moderate_mean,google--gemma-3-12b-it_Severe_vs_Moderate_std,google--gemma-3-12b-it_Severe_vs_Minor_mean,google--gemma-3-12b-it_Severe_vs_Minor_std,google--gemma-3-12b-it_Moderate_vs_Minor_mean,google--gemma-3-12b-it_Moderate_vs_Minor_std,meta-llama--Llama-3.1-8B-Instruct_Extreme_vs_Severe_mean,meta-llama--Llama-3.1-8B-Instruct_Extreme_vs_Severe_std,meta-llama--Llama-3.1-8B-Instruct_Extreme_vs_Moderate_mean,meta-llama--Llama-3.1-8B-Instruct_Extreme_vs_Moderate_std,meta-llama--Llama-3.1-8B-Instruct_Extreme_vs_Minor_mean,meta-llama--Llama-3.1-8B-Instruct_Extreme_vs_Minor_std,meta-llama--Llama-3.1-8B-Instruct_Severe_vs_Moderate_mean,meta-llama--Llama-3.1-8B-Instruct_Severe_vs_Moderate_std,meta-llama--Llama-3.1-8B-Instruct_Severe_vs_Minor_mean,meta-llama--Llama-3.1-8B-Instruct_Severe_vs_Minor_std,meta-llama--Llama-3.1-8B-Instruct_Moderate_vs_Minor_mean,meta-llama--Llama-3.1-8B-Instruct_Moderate_vs_Minor_std,microsoft--phi-4_Extreme_vs_Severe_mean,microsoft--phi-4_Extreme_vs_Severe_std,microsoft--phi-4_Extreme_vs_Moderate_mean,microsoft--phi-4_Extreme_vs_Moderate_std,microsoft--phi-4_Extreme_vs_Minor_mean,microsoft--phi-4_Extreme_vs_Minor_std,microsoft--phi-4_Severe_vs_Moderate_mean,microsoft--phi-4_Severe_vs_Moderate_std,microsoft--phi-4_Severe_vs_Minor_mean,microsoft--phi-4_Severe_vs_Minor_std,microsoft--phi-4_Moderate_vs_Minor_mean,microsoft--phi-4_Moderate_vs_Minor_std
n,160.0,0.0,160.0,0.0,160.0,0.0,160.0,0.0,160.0,0.0,160.0,0.0,160.0,0.0,160.0,0.0,160.0,0.0,160.0,0.0,160.0,0.0,160.0,0.0,160.0,0.0,160.0,0.0,160.0,0.0,160.0,0.0,160.0,0.0,160.0,0.0
accuracy,0.6479166666666667,0.007216878364870297,0.8541666666666666,0.013010412496663345,0.85,0.016535945694153675,0.9020833333333332,0.0036084391824351483,0.88125,0.006249999999999978,0.48541666666666666,0.013010412496663336,0.6416666666666666,0.020090939085401983,0.8395833333333332,0.007216878364870297,0.81875,0.006249999999999978,0.8208333333333333,0.0036084391824351483,0.7687499999999999,0.022534695471649914,0.48125,0.012500000000000011,0.6458333333333334,0.00721687836487036,0.8604166666666666,0.0036084391824352125,0.7958333333333334,0.02009093908540198,0.8104166666666667,0.009547032697824634,0.7958333333333334,0.013010412496663347,0.4645833333333333,0.018042195912175804
precision,0.650925730616133,0.009605078221317993,0.8544201973898945,0.012814174231538075,0.8505585096381901,0.0168691236815872,0.90429534918699,0.0034274342960231964,0.8821596351366595,0.007353098034766635,0.4852834148192798,0.013170753416727484,0.6442489905155538,0.019678370796673776,0.8405025422090411,0.008073330341908944,0.8200903048227054,0.005200492283298482,0.8226164338372058,0.0033132869356490404,0.7689426109202776,0.022741405995502603,0.48116802656066904,0.012501241351341653,0.6555826127262177,0.006001951945747399,0.8651608370268887,0.0015226582867224863,0.8056319810955768,0.020506708126271277,0.8322128418449336,0.004848936180844795,0.822785430112317,0.002441829523829745,0.4545967152566866,0.024671175650347474
recall,0.6479166666666667,0.007216878364870297,0.8541666666666666,0.013010412496663327,0.85,0.016535945694153675,0.9020833333333332,0.0036084391824351804,0.88125,0.006249999999999978,0.4854166666666666,0.013010412496663345,0.6416666666666666,0.02009093908540202,0.8395833333333332,0.007216878364870297,0.81875,0.006249999999999978,0.8208333333333333,0.0036084391824351162,0.7687499999999999,0.022534695471649914,0.48125,0.012500000000000011,0.6458333333333333,0.007216878364870329,0.8604166666666666,0.0036084391824352125,0.7958333333333334,0.02009093908540202,0.8104166666666667,0.009547032697824634,0.7958333333333334,0.013010412496663347,0.4645833333333333,0.018042195912175804
f1,0.6462206318407466,0.006083225107681826,0.8541388269081974,0.013033294855763438,0.8499438007096994,0.016505140231242214,0.9019483973726387,0.0036471453416969464,0.8811832704531591,0.0061708249247857975,0.4846975915993979,0.013820596146166802,0.6399855879820096,0.020767226281183437,0.8394792194617146,0.007133931961447965,0.818554517143714,0.006432310405334376,0.8205838356169294,0.0037384901383983454,0.7687134498531498,0.022499608969092807,0.48026874792453983,0.011587485401406196,0.640157462729829,0.008368216094364096,0.8599547054234457,0.004037737721486535,0.7941775805877299,0.02036553212926871,0.8072168292247626,0.010675930640395893,0.7913745870627095,0.0155627560460243,0.43482791995018194,0.024049364082746143
